title	labels	area	size	outcome	priority	body
Add active referendum endpoint	area:voting,size:xs,type:task	Voting	XS	Demo Flow	P0	## Goal\nExpose the active referendum.\n\n## Acceptance\n- An endpoint returns the active referendum.\n- Closed or missing referendums are handled clearly.
Add vote submission endpoint	area:voting,size:xs,type:task	Voting	XS	Demo Flow	P0	## Goal\nAccept a yes/no vote.\n\n## Acceptance\n- A vote submission endpoint exists.\n- Only allowed ballot values are accepted.
Validate referendum is active before vote	area:voting,size:xs,type:task	Voting	XS	Demo Flow	P0	## Goal\nReject voting outside the active window.\n\n## Acceptance\n- Votes are rejected if the referendum is not active.\n- The response explains the state problem.
Validate voter has not already voted	area:voting,size:xs,type:task	Voting	XS	Demo Flow	P0	## Goal\nPrevent duplicate voting.\n\n## Acceptance\n- A prior vote blocks another submission.\n- The rejection is consistent.
Derive age band during vote submission	area:voting,size:xs,type:task	Voting	XS	Demo Flow	P1	## Goal\nAttach anonymous age-band data to the ballot record.\n\n## Acceptance\n- Age band is derived from voter data.\n- The vote payload does not require raw birth date.
Derive residence bucket during vote submission	area:voting,size:xs,type:task	Voting	XS	Demo Flow	P1	## Goal\nAttach anonymous residence data to the ballot record.\n\n## Acceptance\n- Residence area is derived from voter data.\n- The vote payload does not require exact residence.
Persist anonymous vote record	area:voting,size:xs,type:task	Voting	XS	Demo Flow	P0	## Goal\nStore the ballot without a direct identity link.\n\n## Acceptance\n- Vote data is persisted.\n- The stored vote record contains no direct voter identifier.
Mark voter as having voted	area:voting,size:xs,type:task	Voting	XS	Demo Flow	P0	## Goal\nConsume the voter ballot after a successful vote.\n\n## Acceptance\n- The voter record is updated after a successful submission.\n- Failed vote attempts do not consume the ballot.
Return receipt placeholder in vote response	area:voting,size:xs,type:task	Voting	XS	Audit	P1	## Goal\nExpose an immediate receipt reference.\n\n## Acceptance\n- Vote responses include a receipt placeholder or hash.\n- The response does not block on blockchain confirmation.
Add duplicate-vote rejection test	area:voting,size:xs,type:task	Voting	XS	Demo Flow	P1	## Goal\nTest duplicate-vote prevention.\n\n## Acceptance\n- An automated test attempts two votes.\n- The second attempt is rejected.
Add successful vote submission test	area:voting,size:xs,type:task	Voting	XS	Demo Flow	P1	## Goal\nTest the happy-path vote flow.\n\n## Acceptance\n- An automated test covers successful vote submission.\n- The response includes receipt data.
Add test that vote storage excludes identity fields	area:voting,size:xs,type:task	Voting	XS	Demo Flow	P1	## Goal\nTest the privacy boundary.\n\n## Acceptance\n- An automated test confirms stored vote data has no direct identity field.\n- The test fails if the schema or model regresses.
Define receipt hash input contract	area:blockchain,size:xs,type:task	Blockchain	XS	Audit	P1	## Goal\nLock the receipt hashing inputs.\n\n## Acceptance\n- The hash input fields are documented.\n- The input ordering is deterministic.
Add receipt hash generation service	area:blockchain,size:xs,type:task	Blockchain	XS	Audit	P1	## Goal\nGenerate a receipt hash after vote acceptance.\n\n## Acceptance\n- A service computes the hash.\n- The hash is attached to the vote/audit flow.
Store pending audit status	area:blockchain,size:xs,type:task	Blockchain	XS	Audit	P1	## Goal\nTrack audit anchoring as pending.\n\n## Acceptance\n- New receipts start in a pending state.\n- The status is persisted.
Document blockchain anchoring as async follow-up	area:docs,size:xs,type:task	Docs	XS	Audit	P1	## Goal\nClarify that anchoring is deferred from the critical vote path.\n\n## Acceptance\n- The docs say vote acceptance does not wait for chain confirmation.\n- The next-step async model is described briefly.
Add deterministic receipt hash test	area:blockchain,size:xs,type:task	Blockchain	XS	Audit	P1	## Goal\nTest hash stability.\n\n## Acceptance\n- Identical inputs produce identical hashes.\n- A field change changes the hash.
Add architecture diagram draft	area:docs,size:xs,type:task	Docs	XS	Foundation	P2	## Goal\nCreate a lightweight architecture diagram.\n\n## Acceptance\n- The diagram shows auth, vote, audit, and reporting boundaries.\n- It is stored in the repo.
Add API happy-path docs	area:docs,size:xs,type:task	Docs	XS	Demo Flow	P1	## Goal\nDocument the happy-path API sequence.\n\n## Acceptance\n- The docs show login -> referendum -> vote.\n- Example requests are included.
Add data-boundary note for identity vs ballot	area:docs,size:xs,type:task	Docs	XS	Foundation	P1	## Goal\nExplain the separation between identity and ballot storage.\n\n## Acceptance\n- The docs describe which fields belong in each area.\n- The note is short and explicit.
Add POC limitations section near implementation status	area:docs,size:xs,type:task	Docs	XS	Foundation	P2	## Goal\nKeep the project framing honest during implementation.\n\n## Acceptance\n- The docs restate the main POC limitations.\n- The note is visible near current progress.
Add curl examples for happy path	area:docs,size:xs,type:task	Docs	XS	Demo Flow	P1	## Goal\nMake the demo flow easy to exercise manually.\n\n## Acceptance\n- The docs include curl commands for health, login, referendum, and vote.\n- The examples match implemented endpoints.
